n;Bn;Un;Cn;Dn;Dn-Cn
1000;157;378;6051;10068;4017
1000;239;359;6919;9706;2787
1000;134;363;7597;10285;2688
1000;100;391;7629;10268;2639
1000;170;352;6420;7948;1528
1000;177;378;9200;10814;1614
1000;251;386;5900;9756;3856
1000;152;375;7120;9757;2637
1000;99;377;7380;9868;2488
1000;165;364;8662;9729;1067
1000;163;363;6650;9035;2385
1000;125;376;9089;11166;2077
1000;152;365;7697;9737;2040
1000;111;372;6717;8598;1881
1000;108;385;8929;9839;910
1000;170;364;6937;10694;3757
1000;304;368;8756;10431;1675
1000;276;369;7741;8966;1225
1000;136;354;8302;13513;5211
1000;223;372;5705;8458;2753
1000;299;361;5411;10681;5270
1000;211;366;8734;9446;712
1000;176;369;10200;10331;131
1000;32;366;6689;8958;2269
1000;234;369;8161;9018;857
1000;177;347;6992;10552;3560
1000;167;366;7006;9806;2800
1000;191;398;8256;10980;2724
1000;138;365;7771;8931;1160
1000;211;373;7686;9381;1695
1000;112;367;9486;11518;2032
1000;101;351;6183;9491;3308
1000;84;358;7291;9869;2578
1000;157;371;8808;9292;484
1000;62;373;6933;8612;1679
1000;171;376;6726;9130;2404
1000;242;374;9936;10460;524
1000;104;369;7571;8899;1328
1000;102;362;9042;9312;270
1000;143;373;8228;10547;2319
1000;160;369;7334;10846;3512
1000;223;374;8954;12625;3671
1000;108;371;7012;11200;4188
1000;166;365;8299;9237;938
1000;125;365;9349;11678;2329
1000;208;363;7835;9951;2116
1000;129;385;6771;8696;1925
1000;122;388;6447;13669;7222
1000;158;389;8366;9467;1101
1000;188;369;6930;9612;2682
2000;383;759;17538;21420;3882
2000;255;724;14882;19653;4771
2000;508;724;21286;23186;1900
2000;246;730;17130;23071;5941
2000;335;736;16415;22165;5750
2000;405;747;16311;20030;3719
2000;283;753;22014;25160;3146
2000;281;719;12813;18992;6179
2000;230;758;14809;19497;4688
2000;49;743;17313;20173;2860
2000;439;728;15464;20839;5375
2000;243;729;17437;25194;7757
2000;290;744;19519;21646;2127
2000;120;728;15110;22328;7218
2000;272;769;23959;25662;1703
2000;294;760;12052;22197;10145
2000;259;732;16685;19906;3221
2000;445;712;17664;21848;4184
2000;170;717;15983;18445;2462
2000;227;741;15142;21834;6692
2000;419;745;13915;22124;8209
2000;437;743;17785;22129;4344
2000;212;730;20290;25274;4984
2000;255;720;16920;24583;7663
2000;161;752;13916;19542;5626
2000;222;735;12690;18435;5745
2000;171;727;16779;20316;3537
2000;251;721;19545;24459;4914
2000;168;738;13948;18325;4377
2000;345;733;15359;21036;5677
2000;122;722;16255;21151;4896
2000;286;740;15288;22733;7445
2000;239;759;15829;21588;5759
2000;296;728;15453;21096;5643
2000;137;749;17197;21967;4770
2000;96;737;16281;20744;4463
2000;95;724;24036;24639;603
2000;196;763;22220;26481;4261
2000;311;753;13779;19171;5392
2000;316;753;15394;21001;5607
2000;255;713;15023;17143;2120
2000;326;722;19410;21879;2469
2000;263;749;18792;21438;2646
2000;376;752;15466;19755;4289
2000;247;725;14881;19117;4236
2000;500;729;15969;19150;3181
2000;414;746;15089;18520;3431
2000;248;736;15284;27171;11887
2000;362;741;14013;18143;4130
2000;361;737;17666;22282;4616
3000;401;1094;24993;32266;7273
3000;461;1099;27519;31053;3534
3000;455;1127;29678;35319;5641
3000;243;1115;35880;36236;356
3000;423;1103;26741;34966;8225
3000;179;1078;23606;31920;8314
3000;360;1078;20799;28009;7210
3000;182;1115;22219;32133;9914
3000;483;1082;26835;36205;9370
3000;500;1087;24802;33395;8593
3000;495;1082;23805;28669;4864
3000;337;1129;24827;35591;10764
3000;407;1116;23660;29625;5965
3000;149;1112;31150;32971;1821
3000;417;1093;24664;34242;9578
3000;360;1074;24370;29880;5510
3000;572;1097;20481;27880;7399
3000;544;1113;25152;36760;11608
3000;436;1099;22715;30203;7488
3000;375;1128;19356;33109;13753
3000;354;1114;31348;32923;1575
3000;306;1103;28299;30495;2196
3000;520;1087;21064;40364;19300
3000;275;1102;25990;29407;3417
3000;205;1130;32682;39981;7299
3000;247;1145;25860;30316;4456
3000;395;1118;23907;29327;5420
3000;333;1109;31313;37457;6144
3000;477;1089;35612;35682;70
3000;440;1088;27774;31129;3355
3000;533;1108;28347;34295;5948
3000;156;1084;23668;30469;6801
3000;326;1126;20407;30974;10567
3000;327;1119;23060;35527;12467
3000;249;1091;28372;32168;3796
3000;355;1120;23790;29489;5699
3000;371;1089;24953;27224;2271
3000;224;1086;24137;36494;12357
3000;318;1100;21635;30701;9066
3000;291;1083;24006;39512;15506
3000;171;1126;41173;42297;1124
3000;292;1119;24002;29122;5120
3000;685;1128;29545;41788;12243
3000;411;1108;27495;30751;3256
3000;526;1095;22581;26759;4178
3000;393;1090;21992;28097;6105
3000;600;1106;25383;36632;11249
3000;446;1111;23584;39173;15589
3000;329;1132;27456;41920;14464
3000;322;1107;21473;29908;8435
4000;405;1489;31805;40591;8786
4000;244;1491;40153;41972;1819
4000;240;1496;30618;41842;11224
4000;588;1488;35608;41576;5968
4000;285;1479;31836;40290;8454
4000;268;1481;41691;43912;2221
4000;505;1502;33729;40978;7249
4000;577;1494;50484;53319;2835
4000;412;1508;33911;45777;11866
4000;472;1450;34875;45231;10356
4000;337;1472;38455;43185;4730
4000;535;1481;30446;39732;9286
4000;383;1462;33714;56164;22450
4000;204;1462;36785;48417;11632
4000;194;1458;35085;43248;8163
4000;719;1456;32306;36590;4284
4000;300;1481;36338;44680;8342
4000;393;1490;33565;47226;13661
4000;694;1464;39142;48753;9611
4000;431;1481;32119;49896;17777
4000;526;1485;31415;51669;20254
4000;588;1444;30477;42138;11661
4000;345;1446;41289;50831;9542
4000;400;1447;39748;46476;6728
4000;545;1466;35635;40458;4823
4000;319;1475;28675;37220;8545
4000;485;1452;30997;41910;10913
4000;199;1490;33899;37664;3765
4000;506;1487;34539;43362;8823
4000;240;1464;42894;52460;9566
4000;486;1444;33292;39772;6480
4000;780;1476;42013;45688;3675
4000;519;1463;34240;44272;10032
4000;653;1457;34351;41322;6971
4000;381;1490;31019;49857;18838
4000;191;1464;38605;42972;4367
4000;532;1466;31943;39697;7754
4000;446;1434;34794;43612;8818
4000;346;1478;29843;70932;41089
4000;251;1477;33563;47312;13749
4000;362;1455;30916;47836;16920
4000;627;1493;31499;52516;21017
4000;319;1463;27591;43551;15960
4000;537;1483;34233;44451;10218
4000;726;1472;35850;42383;6533
4000;402;1472;33879;46617;12738
4000;323;1480;33555;42883;9328
4000;483;1471;27416;47278;19862
4000;452;1465;34408;55952;21544
4000;783;1446;30001;39350;9349
5000;141;1839;40303;50073;9770
5000;585;1809;50844;58383;7539
5000;505;1820;40072;57374;17302
5000;336;1849;48220;53064;4844
5000;396;1860;51189;65839;14650
5000;405;1849;47082;70473;23391
5000;216;1860;43761;57768;14007
5000;539;1816;54327;55139;812
5000;427;1807;67522;71303;3781
5000;553;1866;46651;52144;5493
5000;914;1796;43824;47839;4015
5000;275;1843;46798;67343;20545
5000;209;1896;45497;64035;18538
5000;314;1830;51067;55019;3952
5000;347;1849;45537;57317;11780
5000;423;1830;52884;76852;23968
5000;622;1841;51899;65221;13322
5000;545;1857;49666;58892;9226
5000;187;1849;44814;57747;12933
5000;584;1872;50851;61049;10198
5000;351;1837;44304;66968;22664
5000;579;1843;46020;50791;4771
5000;349;1829;53253;66848;13595
5000;425;1844;44649;54351;9702
5000;590;1843;47493;55036;7543
5000;438;1867;48740;53950;5210
5000;465;1856;50522;54323;3801
5000;248;1848;52961;62541;9580
5000;517;1857;41451;57397;15946
5000;617;1861;43358;50359;7001
5000;238;1874;46670;58222;11552
5000;587;1795;40173;53012;12839
5000;231;1825;55771;56415;644
5000;474;1822;56716;57746;1030
5000;320;1811;50426;64912;14486
5000;432;1831;43028;55080;12052
5000;286;1821;47652;53362;5710
5000;611;1864;37235;70050;32815
5000;389;1806;50030;65889;15859
5000;355;1819;50545;54869;4324
5000;410;1828;43661;52100;8439
5000;685;1795;38799;61116;22317
5000;614;1851;38521;60117;21596
5000;544;1835;55817;58422;2605
5000;639;1865;41514;49645;8131
5000;318;1866;43064;51747;8683
5000;579;1869;45040;49642;4602
5000;343;1842;42866;49003;6137
5000;416;1865;39384;54341;14957
5000;364;1812;45769;55147;9378
6000;400;2233;52403;80785;28382
6000;760;2189;48009;69580;21571
6000;727;2196;55958;65133;9175
6000;471;2195;55696;61575;5879
6000;392;2214;57427;61647;4220
6000;421;2242;49176;76626;27450
6000;898;2152;79902;81213;1311
6000;608;2244;53933;64682;10749
6000;332;2206;53657;64184;10527
6000;458;2203;56470;73492;17022
6000;508;2205;56462;69040;12578
6000;788;2135;60656;79106;18450
6000;659;2219;55316;65126;9810
6000;756;2191;62632;72307;9675
6000;1036;2210;59528;72628;13100
6000;455;2241;54783;68492;13709
6000;447;2187;49744;63416;13672
6000;437;2183;65019;71958;6939
6000;794;2216;45191;65581;20390
6000;389;2238;49491;86837;37346
6000;477;2204;50153;66544;16391
6000;339;2196;46627;67039;20412
6000;733;2240;63559;72708;9149
6000;786;2193;62627;69250;6623
6000;397;2216;45588;84079;38491
6000;102;2196;62820;72957;10137
6000;854;2171;58533;70580;12047
6000;590;2170;66990;74093;7103
6000;596;2219;57002;62222;5220
6000;535;2209;67882;70250;2368
6000;651;2237;47189;69787;22598
6000;915;2197;54552;64239;9687
6000;452;2227;54275;68676;14401
6000;346;2199;53516;58711;5195
6000;514;2250;46484;74317;27833
6000;886;2229;58285;72546;14261
6000;431;2262;72263;81772;9509
6000;408;2205;65737;69021;3284
6000;120;2249;60429;82280;21851
6000;972;2212;50217;85725;35508
6000;809;2187;52835;60308;7473
6000;260;2181;70209;71996;1787
6000;448;2200;55851;63258;7407
6000;713;2214;63229;68231;5002
6000;655;2200;70549;74978;4429
6000;639;2192;48525;69317;20792
6000;476;2196;60238;78828;18590
6000;469;2221;67179;73101;5922
6000;540;2189;54064;63685;9621
6000;327;2235;51518;65237;13719
7000;832;2566;56552;76979;20427
7000;453;2554;58641;90401;31760
7000;485;2569;55483;89434;33951
7000;480;2554;63607;78109;14502
7000;215;2636;66370;82242;15872
7000;667;2579;57484;80131;22647
7000;531;2551;78411;83712;5301
7000;658;2589;66731;91658;24927
7000;556;2622;61545;104339;42794
7000;566;2535;63500;80916;17416
7000;753;2564;63852;80351;16499
7000;486;2570;60019;68834;8815
7000;546;2599;60691;67772;7081
7000;535;2586;77451;87901;10450
7000;580;2576;58100;84573;26473
7000;361;2586;68652;84809;16157
7000;653;2633;55065;84632;29567
7000;862;2592;62052;84316;22264
