n;comparisonCount;swapCount
100;2722;2723
100;2523;2524
100;2631;2635
100;2455;2455
100;2600;2601
100;2779;2784
100;2667;2666
100;2523;2521
100;2417;2423
100;2743;2744
100;2609;2611
100;2561;2559
100;2453;2456
100;2420;2423
100;2651;2653
100;2447;2447
100;2374;2372
100;2568;2572
100;2837;2839
100;2342;2342
100;2413;2411
100;2514;2510
100;2536;2540
100;2640;2639
100;2156;2158
100;2337;2332
100;2424;2425
100;2631;2637
100;2787;2786
100;2801;2800
100;2627;2629
100;2655;2659
100;2429;2436
100;2480;2477
100;2752;2750
100;2335;2336
100;2663;2659
100;2447;2446
100;2606;2599
100;2625;2625
100;2634;2633
100;2613;2610
100;2452;2450
100;2567;2564
100;2402;2399
100;2442;2444
100;2371;2374
100;2563;2561
100;2662;2658
100;2779;2782
200;10164;10160
200;10530;10530
200;10287;10291
200;10011;10012
200;10569;10570
200;10106;10108
200;9781;9777
200;10132;10131
200;10722;10722
200;10836;10835
200;10642;10644
200;9764;9758
200;10489;10486
200;10259;10261
200;10569;10571
200;10026;10024
200;9910;9912
200;9974;9979
200;10422;10423
200;10374;10372
200;10075;10073
200;10275;10276
200;10029;10025
200;11409;11406
200;10003;9999
200;10702;10705
200;10861;10860
200;11247;11247
200;10254;10251
200;9907;9911
200;9489;9491
200;9375;9378
200;9919;9918
200;9801;9801
200;10567;10572
200;9775;9774
200;10048;10050
200;10367;10368
200;10363;10364
200;9798;9806
200;9889;9887
200;10835;10839
200;10861;10866
200;10128;10127
200;10007;10004
200;10052;10050
200;10871;10874
200;9785;9786
200;10548;10543
200;10285;10285
300;24161;24161
300;22126;22127
300;22293;22295
300;23689;23684
300;22697;22700
300;22417;22415
300;25325;25326
300;22544;22549
300;22335;22333
300;22483;22486
300;23161;23155
300;23054;23057
300;21206;21199
300;24065;24066
300;24375;24377
300;21186;21191
300;22681;22687
300;22180;22178
300;23398;23398
300;22362;22364
300;22916;22917
300;22664;22661
300;22167;22167
300;22976;22978
300;22287;22290
300;22300;22297
300;23137;23135
300;22170;22167
300;23325;23324
300;22691;22691
300;22739;22743
300;21842;21847
300;22547;22548
300;23143;23146
300;23439;23440
300;23026;23025
300;24475;24476
300;23540;23541
300;22229;22229
300;22608;22613
300;23361;23359
300;20695;20700
300;22514;22514
300;22004;21998
300;22517;22512
300;22240;22238
300;23756;23762
300;23653;23654
300;23076;23078
300;22086;22085
400;41172;41170
400;40709;40713
400;42697;42692
400;41501;41497
400;37711;37711
400;39737;39738
400;38438;38442
400;40210;40208
400;40505;40503
400;41343;41345
400;39875;39872
400;40410;40410
400;39878;39873
400;39519;39522
400;41790;41787
400;40519;40521
400;38403;38408
400;40998;40997
400;40770;40767
400;39575;39571
400;41407;41407
400;38604;38605
400;41069;41066
400;38707;38702
400;40308;40304
400;39665;39661
400;40834;40834
400;39050;39052
400;40142;40146
400;38958;38959
400;41850;41852
400;38542;38544
400;38141;38144
400;38923;38924
400;41305;41303
400;38689;38691
400;39717;39718
400;42168;42163
400;38739;38740
400;39876;39881
400;40647;40650
400;41099;41095
400;41344;41349
400;40287;40288
400;39937;39937
400;41952;41954
400;39339;39338
400;39768;39770
400;39644;39639
400;40140;40143
500;64427;64424
500;64270;64268
500;60630;60626
500;63059;63056
500;61446;61442
500;61114;61111
500;65577;65572
500;63708;63711
500;62201;62199
500;62830;62827
500;64144;64144
500;64179;64179
500;67315;67312
500;61895;61895
500;61315;61311
500;61224;61227
500;61533;61540
500;63055;63055
500;63559;63559
500;61998;61996
500;64544;64544
500;61627;61619
500;63553;63543
500;62964;62963
500;62956;62963
500;61729;61735
500;63769;63773
500;61066;61068
500;62511;62505
500;65029;65028
500;64136;64141
500;64670;64667
500;63201;63197
500;66037;66034
500;64604;64604
500;62711;62713
500;64672;64671
500;61575;61577
500;64984;64983
500;62470;62468
500;62177;62173
500;61328;61330
500;64079;64084
500;63021;63020
500;61879;61881
500;64135;64140
500;63191;63195
500;60085;60085
500;63893;63898
500;62562;62563
600;90226;90223
600;89966;89965
600;89183;89182
600;91801;91796
600;87732;87730
600;90830;90825
600;95145;95142
600;92719;92719
600;90030;90037
600;98002;98001
600;89311;89312
600;87393;87394
600;90981;90985
600;88773;88766
600;88540;88544
600;87801;87799
600;86360;86357
600;89301;89307
600;91838;91847
600;91664;91668
600;90826;90827
600;91182;91181
600;90980;90978
600;87281;87284
600;89017;89020
600;88348;88348
600;88859;88855
600;88770;88772
600;90010;90012
600;92750;92752
600;90444;90444
600;95392;95391
600;94702;94708
600;91501;91504
600;84949;84940
600;93553;93554
600;87796;87794
600;90800;90798
600;93212;93207
600;90136;90134
600;88660;88655
600;90214;90210
600;90754;90756
600;93551;93550
600;90597;90596
600;91108;91109
600;92069;92073
600;89675;89681
600;89571;89573
600;84678;84679
700;116569;116568
700;122739;122740
700;119755;119756
700;122569;122574
700;123811;123810
700;126454;126455
700;124131;124129
700;124993;124994
700;124290;124289
700;127819;127820
700;116831;116829
700;124760;124759
700;120871;120865
700;124273;124273
700;125113;125115
700;123223;123218
700;122693;122696
700;121096;121095
700;125030;125033
700;117623;117618
700;124966;124960
700;127017;127018
700;119802;119796
700;125654;125650
700;117996;117995
700;121901;121901
700;127237;127232
700;123972;123977
700;122013;122015
700;128099;128100
700;126865;126861
700;120244;120253
700;121660;121662
700;120795;120794
700;115986;115984
700;122680;122683
700;124404;124402
700;117929;117926
700;126299;126301
700;122373;122368
700;121814;121821
700;120291;120286
700;132108;132107
700;124467;124472
700;122542;122543
700;121448;121449
700;121303;121305
700;118715;118721
700;125373;125376
700;127577;127575
800;152789;152794
800;156979;156983
800;165108;165103
800;162599;162594
800;158971;158977
800;164124;164126
800;167905;167908
800;165639;165641
