n;min;p
10000;83;0.1
10000;140;0.1
10000;103;0.1
10000;84;0.1
10000;83;0.1
10000;99;0.1
10000;103;0.1
10000;88;0.1
10000;85;0.1
10000;98;0.1
10000;94;0.1
10000;95;0.1
10000;80;0.1
10000;98;0.1
10000;92;0.1
10000;84;0.1
10000;78;0.1
10000;87;0.1
10000;104;0.1
10000;87;0.1
10000;94;0.1
10000;93;0.1
10000;76;0.1
10000;87;0.1
10000;81;0.1
10000;85;0.1
10000;89;0.1
10000;97;0.1
10000;92;0.1
10000;86;0.1
10000;77;0.1
10000;90;0.1
10000;91;0.1
10000;80;0.1
10000;112;0.1
10000;90;0.1
10000;89;0.1
10000;87;0.1
10000;90;0.1
10000;114;0.1
10000;103;0.1
10000;94;0.1
10000;115;0.1
10000;93;0.1
10000;95;0.1
10000;84;0.1
10000;90;0.1
10000;87;0.1
10000;125;0.1
10000;86;0.1
20000;98;0.1
20000;93;0.1
20000;101;0.1
20000;113;0.1
20000;99;0.1
20000;93;0.1
20000;100;0.1
20000;90;0.1
20000;98;0.1
20000;99;0.1
20000;152;0.1
20000;87;0.1
20000;83;0.1
20000;79;0.1
20000;90;0.1
20000;99;0.1
20000;97;0.1
20000;95;0.1
20000;89;0.1
20000;88;0.1
20000;102;0.1
20000;103;0.1
20000;100;0.1
20000;111;0.1
20000;118;0.1
20000;107;0.1
20000;132;0.1
20000;104;0.1
20000;96;0.1
20000;87;0.1
20000;106;0.1
20000;108;0.1
20000;112;0.1
20000;112;0.1
20000;92;0.1
20000;127;0.1
20000;107;0.1
20000;106;0.1
20000;119;0.1
20000;94;0.1
20000;87;0.1
20000;97;0.1
20000;117;0.1
20000;84;0.1
20000;85;0.1
20000;106;0.1
20000;98;0.1
20000;100;0.1
20000;101;0.1
20000;107;0.1
30000;97;0.1
30000;111;0.1
30000;98;0.1
30000;110;0.1
30000;108;0.1
30000;123;0.1
30000;104;0.1
30000;92;0.1
30000;108;0.1
30000;98;0.1
30000;93;0.1
30000;97;0.1
30000;162;0.1
30000;90;0.1
30000;106;0.1
30000;98;0.1
30000;117;0.1
30000;105;0.1
30000;108;0.1
30000;90;0.1
30000;108;0.1
30000;89;0.1
30000;110;0.1
30000;103;0.1
30000;101;0.1
30000;129;0.1
30000;93;0.1
30000;93;0.1
30000;123;0.1
30000;104;0.1
30000;97;0.1
30000;101;0.1
30000;101;0.1
30000;110;0.1
30000;94;0.1
30000;123;0.1
30000;89;0.1
30000;114;0.1
30000;89;0.1
30000;86;0.1
30000;111;0.1
30000;112;0.1
30000;111;0.1
30000;110;0.1
30000;99;0.1
30000;110;0.1
30000;101;0.1
30000;96;0.1
30000;111;0.1
30000;132;0.1
40000;93;0.1
40000;106;0.1
40000;111;0.1
40000;99;0.1
40000;102;0.1
40000;101;0.1
40000;108;0.1
40000;123;0.1
40000;122;0.1
40000;111;0.1
40000;116;0.1
40000;105;0.1
40000;117;0.1
40000;93;0.1
40000;94;0.1
40000;98;0.1
40000;105;0.1
40000;99;0.1
40000;102;0.1
40000;95;0.1
40000;106;0.1
40000;114;0.1
40000;103;0.1
40000;92;0.1
40000;107;0.1
40000;107;0.1
40000;110;0.1
40000;107;0.1
40000;113;0.1
40000;101;0.1
40000;105;0.1
40000;86;0.1
40000;118;0.1
40000;112;0.1
40000;97;0.1
40000;112;0.1
40000;105;0.1
40000;92;0.1
40000;122;0.1
40000;126;0.1
40000;110;0.1
40000;87;0.1
40000;89;0.1
40000;101;0.1
40000;109;0.1
40000;110;0.1
40000;110;0.1
40000;107;0.1
40000;108;0.1
40000;126;0.1
50000;124;0.1
50000;105;0.1
50000;103;0.1
50000;116;0.1
50000;120;0.1
50000;116;0.1
50000;127;0.1
50000;93;0.1
50000;104;0.1
50000;101;0.1
50000;115;0.1
50000;125;0.1
50000;98;0.1
50000;95;0.1
50000;102;0.1
50000;109;0.1
50000;108;0.1
50000;102;0.1
50000;106;0.1
50000;125;0.1
50000;111;0.1
50000;104;0.1
50000;110;0.1
50000;96;0.1
50000;102;0.1
50000;128;0.1
50000;99;0.1
50000;97;0.1
50000;101;0.1
50000;107;0.1
50000;99;0.1
50000;111;0.1
50000;123;0.1
50000;96;0.1
50000;113;0.1
50000;121;0.1
50000;126;0.1
50000;122;0.1
50000;102;0.1
50000;108;0.1
50000;122;0.1
50000;105;0.1
50000;127;0.1
50000;106;0.1
50000;102;0.1
50000;124;0.1
50000;106;0.1
50000;107;0.1
50000;103;0.1
50000;109;0.1
60000;120;0.1
60000;114;0.1
60000;111;0.1
60000;92;0.1
60000;104;0.1
60000;97;0.1
60000;142;0.1
60000;106;0.1
60000;133;0.1
60000;109;0.1
60000;97;0.1
60000;118;0.1
60000;110;0.1
60000;97;0.1
60000;109;0.1
60000;120;0.1
60000;103;0.1
60000;106;0.1
60000;103;0.1
60000;111;0.1
60000;128;0.1
60000;119;0.1
60000;108;0.1
60000;131;0.1
60000;112;0.1
60000;115;0.1
60000;91;0.1
60000;102;0.1
60000;133;0.1
60000;104;0.1
60000;113;0.1
60000;122;0.1
60000;109;0.1
60000;134;0.1
60000;105;0.1
60000;124;0.1
60000;126;0.1
60000;121;0.1
60000;123;0.1
60000;106;0.1
60000;123;0.1
60000;112;0.1
60000;102;0.1
60000;97;0.1
60000;95;0.1
60000;126;0.1
60000;120;0.1
60000;96;0.1
60000;92;0.1
60000;122;0.1
70000;119;0.1
70000;119;0.1
70000;135;0.1
70000;130;0.1
70000;116;0.1
70000;126;0.1
70000;122;0.1
70000;145;0.1
70000;108;0.1
70000;114;0.1
70000;114;0.1
70000;115;0.1
70000;100;0.1
70000;120;0.1
70000;122;0.1
70000;162;0.1
70000;90;0.1
70000;123;0.1
70000;112;0.1
70000;109;0.1
70000;95;0.1
70000;102;0.1
70000;109;0.1
70000;105;0.1
70000;109;0.1
70000;125;0.1
70000;108;0.1
70000;96;0.1
70000;109;0.1
70000;134;0.1
70000;101;0.1
70000;123;0.1
70000;102;0.1
70000;104;0.1
70000;112;0.1
70000;107;0.1
70000;109;0.1
70000;100;0.1
70000;122;0.1
70000;109;0.1
70000;105;0.1
70000;130;0.1
70000;107;0.1
70000;109;0.1
70000;118;0.1
70000;98;0.1
70000;106;0.1
70000;100;0.1
70000;102;0.1
70000;114;0.1
80000;122;0.1
80000;126;0.1
80000;112;0.1
80000;112;0.1
80000;112;0.1
80000;122;0.1
80000;126;0.1
80000;124;0.1
80000;97;0.1
80000;100;0.1
80000;132;0.1
80000;108;0.1
80000;102;0.1
80000;102;0.1
80000;103;0.1
80000;115;0.1
80000;97;0.1
80000;108;0.1
80000;100;0.1
80000;115;0.1
80000;111;0.1
80000;102;0.1
80000;112;0.1
80000;116;0.1
80000;104;0.1
80000;99;0.1
80000;103;0.1
80000;117;0.1
80000;104;0.1
80000;93;0.1
80000;117;0.1
80000;120;0.1
80000;111;0.1
80000;105;0.1
80000;102;0.1
80000;106;0.1
80000;104;0.1
80000;113;0.1
80000;95;0.1
80000;102;0.1
80000;115;0.1
80000;102;0.1
80000;110;0.1
80000;111;0.1
80000;106;0.1
80000;114;0.1
80000;141;0.1
80000;95;0.1
80000;118;0.1
80000;110;0.1
90000;116;0.1
90000;105;0.1
90000;154;0.1
90000;118;0.1
90000;126;0.1
90000;121;0.1
90000;117;0.1
90000;101;0.1
90000;112;0.1
90000;108;0.1
90000;105;0.1
90000;119;0.1
90000;122;0.1
90000;114;0.1
90000;103;0.1
90000;103;0.1
90000;119;0.1
90000;97;0.1
90000;112;0.1
90000;110;0.1
90000;103;0.1
90000;121;0.1
90000;134;0.1
90000;115;0.1
90000;135;0.1
90000;144;0.1
90000;105;0.1
90000;128;0.1
90000;100;0.1
90000;128;0.1
90000;133;0.1
90000;108;0.1
90000;121;0.1
90000;121;0.1
90000;99;0.1
90000;135;0.1
90000;112;0.1
90000;123;0.1
90000;123;0.1
90000;126;0.1
90000;124;0.1
90000;112;0.1
90000;122;0.1
90000;106;0.1
90000;128;0.1
90000;113;0.1
90000;124;0.1
90000;115;0.1
90000;104;0.1
90000;111;0.1
100000;111;0.1
100000;125;0.1
100000;134;0.1
100000;133;0.1
100000;104;0.1
100000;130;0.1
100000;101;0.1
100000;105;0.1
100000;110;0.1
100000;106;0.1
100000;103;0.1
100000;111;0.1
100000;106;0.1
100000;115;0.1
100000;124;0.1
100000;128;0.1
100000;122;0.1
100000;112;0.1
100000;115;0.1
100000;107;0.1
100000;126;0.1
