n;min;p
10000;17;0.5
10000;22;0.5
10000;13;0.5
10000;14;0.5
10000;16;0.5
10000;16;0.5
10000;13;0.5
10000;15;0.5
10000;16;0.5
10000;16;0.5
10000;16;0.5
10000;16;0.5
10000;17;0.5
10000;15;0.5
10000;14;0.5
10000;16;0.5
10000;17;0.5
10000;15;0.5
10000;13;0.5
10000;19;0.5
10000;18;0.5
10000;18;0.5
10000;14;0.5
10000;13;0.5
10000;16;0.5
10000;16;0.5
10000;14;0.5
10000;17;0.5
10000;14;0.5
10000;18;0.5
10000;23;0.5
10000;15;0.5
10000;13;0.5
10000;17;0.5
10000;18;0.5
10000;14;0.5
10000;19;0.5
10000;15;0.5
10000;17;0.5
10000;16;0.5
10000;13;0.5
10000;17;0.5
10000;15;0.5
10000;15;0.5
10000;14;0.5
10000;16;0.5
10000;13;0.5
10000;17;0.5
10000;15;0.5
10000;13;0.5
20000;15;0.5
20000;18;0.5
20000;15;0.5
20000;16;0.5
20000;15;0.5
20000;15;0.5
20000;18;0.5
20000;17;0.5
20000;14;0.5
20000;18;0.5
20000;18;0.5
20000;19;0.5
20000;16;0.5
20000;16;0.5
20000;21;0.5
20000;18;0.5
20000;14;0.5
20000;16;0.5
20000;15;0.5
20000;19;0.5
20000;17;0.5
20000;16;0.5
20000;15;0.5
20000;16;0.5
20000;18;0.5
20000;17;0.5
20000;15;0.5
20000;16;0.5
20000;16;0.5
20000;16;0.5
20000;18;0.5
20000;17;0.5
20000;15;0.5
20000;15;0.5
20000;17;0.5
20000;17;0.5
20000;15;0.5
20000;16;0.5
20000;19;0.5
20000;17;0.5
20000;19;0.5
20000;19;0.5
20000;21;0.5
20000;18;0.5
20000;15;0.5
20000;15;0.5
20000;17;0.5
20000;16;0.5
20000;16;0.5
20000;18;0.5
30000;15;0.5
30000;16;0.5
30000;17;0.5
30000;17;0.5
30000;16;0.5
30000;16;0.5
30000;15;0.5
30000;15;0.5
30000;17;0.5
30000;17;0.5
30000;16;0.5
30000;16;0.5
30000;16;0.5
30000;15;0.5
30000;15;0.5
30000;16;0.5
30000;16;0.5
30000;17;0.5
30000;16;0.5
30000;16;0.5
30000;15;0.5
30000;16;0.5
30000;16;0.5
30000;18;0.5
30000;20;0.5
30000;17;0.5
30000;16;0.5
30000;17;0.5
30000;18;0.5
30000;18;0.5
30000;17;0.5
30000;15;0.5
30000;18;0.5
30000;20;0.5
30000;16;0.5
30000;17;0.5
30000;16;0.5
30000;20;0.5
30000;23;0.5
30000;17;0.5
30000;17;0.5
30000;17;0.5
30000;17;0.5
30000;15;0.5
30000;18;0.5
30000;15;0.5
30000;15;0.5
30000;18;0.5
30000;17;0.5
30000;17;0.5
40000;21;0.5
40000;16;0.5
40000;20;0.5
40000;17;0.5
40000;18;0.5
40000;21;0.5
40000;17;0.5
40000;17;0.5
40000;21;0.5
40000;20;0.5
40000;16;0.5
40000;20;0.5
40000;17;0.5
40000;19;0.5
40000;17;0.5
40000;16;0.5
40000;21;0.5
40000;20;0.5
40000;17;0.5
40000;17;0.5
40000;17;0.5
40000;18;0.5
40000;16;0.5
40000;17;0.5
40000;18;0.5
40000;20;0.5
40000;17;0.5
40000;19;0.5
40000;15;0.5
40000;17;0.5
40000;16;0.5
40000;16;0.5
40000;18;0.5
40000;16;0.5
40000;17;0.5
40000;16;0.5
40000;17;0.5
40000;18;0.5
40000;15;0.5
40000;16;0.5
40000;20;0.5
40000;16;0.5
40000;16;0.5
40000;17;0.5
40000;18;0.5
40000;18;0.5
40000;16;0.5
40000;17;0.5
40000;16;0.5
40000;18;0.5
50000;17;0.5
50000;20;0.5
50000;18;0.5
50000;19;0.5
50000;16;0.5
50000;19;0.5
50000;16;0.5
50000;18;0.5
50000;17;0.5
50000;20;0.5
50000;16;0.5
50000;18;0.5
50000;18;0.5
50000;22;0.5
50000;17;0.5
50000;17;0.5
50000;20;0.5
50000;17;0.5
50000;16;0.5
50000;19;0.5
50000;17;0.5
50000;18;0.5
50000;20;0.5
50000;18;0.5
50000;18;0.5
50000;19;0.5
50000;16;0.5
50000;17;0.5
50000;17;0.5
50000;17;0.5
50000;19;0.5
50000;18;0.5
50000;18;0.5
50000;22;0.5
50000;20;0.5
50000;16;0.5
50000;17;0.5
50000;19;0.5
50000;17;0.5
50000;17;0.5
50000;16;0.5
50000;18;0.5
50000;15;0.5
50000;18;0.5
50000;21;0.5
50000;17;0.5
50000;21;0.5
50000;18;0.5
50000;18;0.5
50000;17;0.5
60000;21;0.5
60000;17;0.5
60000;17;0.5
60000;17;0.5
60000;18;0.5
60000;17;0.5
60000;17;0.5
60000;19;0.5
60000;17;0.5
60000;21;0.5
60000;18;0.5
60000;18;0.5
60000;17;0.5
60000;15;0.5
60000;19;0.5
60000;20;0.5
60000;17;0.5
60000;19;0.5
60000;16;0.5
60000;16;0.5
60000;19;0.5
60000;20;0.5
60000;20;0.5
60000;18;0.5
60000;17;0.5
60000;24;0.5
60000;18;0.5
60000;16;0.5
60000;17;0.5
60000;16;0.5
60000;17;0.5
60000;17;0.5
60000;18;0.5
60000;19;0.5
60000;18;0.5
60000;18;0.5
60000;20;0.5
60000;18;0.5
60000;17;0.5
60000;17;0.5
60000;19;0.5
60000;17;0.5
60000;21;0.5
60000;16;0.5
60000;24;0.5
60000;20;0.5
60000;20;0.5
60000;16;0.5
60000;17;0.5
60000;17;0.5
70000;16;0.5
70000;21;0.5
70000;23;0.5
70000;19;0.5
70000;19;0.5
70000;17;0.5
70000;18;0.5
70000;18;0.5
70000;19;0.5
70000;19;0.5
70000;18;0.5
70000;18;0.5
70000;19;0.5
70000;19;0.5
70000;17;0.5
70000;19;0.5
70000;21;0.5
70000;18;0.5
70000;21;0.5
70000;19;0.5
70000;20;0.5
70000;21;0.5
70000;16;0.5
70000;17;0.5
70000;18;0.5
70000;21;0.5
70000;18;0.5
70000;16;0.5
70000;20;0.5
70000;20;0.5
70000;18;0.5
70000;17;0.5
70000;16;0.5
70000;16;0.5
70000;20;0.5
70000;19;0.5
70000;16;0.5
70000;19;0.5
70000;17;0.5
70000;20;0.5
70000;17;0.5
70000;17;0.5
70000;18;0.5
70000;18;0.5
70000;15;0.5
70000;18;0.5
70000;15;0.5
70000;20;0.5
70000;20;0.5
70000;19;0.5
80000;21;0.5
80000;18;0.5
80000;18;0.5
80000;21;0.5
80000;18;0.5
80000;19;0.5
80000;23;0.5
80000;16;0.5
80000;18;0.5
80000;23;0.5
80000;18;0.5
80000;19;0.5
80000;25;0.5
80000;20;0.5
80000;20;0.5
80000;17;0.5
80000;18;0.5
80000;19;0.5
80000;18;0.5
80000;20;0.5
80000;18;0.5
80000;17;0.5
80000;18;0.5
80000;20;0.5
80000;19;0.5
80000;18;0.5
80000;18;0.5
80000;18;0.5
80000;19;0.5
80000;20;0.5
80000;16;0.5
80000;17;0.5
80000;16;0.5
80000;18;0.5
80000;21;0.5
80000;19;0.5
80000;20;0.5
80000;19;0.5
80000;19;0.5
80000;16;0.5
80000;18;0.5
80000;18;0.5
80000;18;0.5
80000;19;0.5
80000;20;0.5
80000;17;0.5
80000;20;0.5
80000;17;0.5
80000;17;0.5
80000;18;0.5
90000;19;0.5
90000;18;0.5
90000;19;0.5
90000;17;0.5
90000;20;0.5
90000;19;0.5
90000;16;0.5
90000;19;0.5
90000;20;0.5
90000;17;0.5
90000;17;0.5
90000;18;0.5
90000;20;0.5
90000;19;0.5
90000;18;0.5
90000;20;0.5
90000;18;0.5
90000;19;0.5
90000;18;0.5
90000;18;0.5
90000;16;0.5
90000;17;0.5
90000;20;0.5
90000;23;0.5
90000;22;0.5
90000;18;0.5
90000;19;0.5
90000;23;0.5
90000;20;0.5
90000;17;0.5
90000;19;0.5
90000;17;0.5
90000;19;0.5
90000;19;0.5
90000;18;0.5
90000;15;0.5
90000;18;0.5
90000;22;0.5
90000;17;0.5
90000;20;0.5
90000;18;0.5
90000;17;0.5
90000;21;0.5
90000;19;0.5
90000;18;0.5
90000;18;0.5
90000;17;0.5
90000;20;0.5
90000;17;0.5
90000;20;0.5
100000;20;0.5
100000;19;0.5
100000;19;0.5
100000;23;0.5
100000;16;0.5
100000;21;0.5
100000;18;0.5
100000;18;0.5
100000;20;0.5
100000;21;0.5
100000;18;0.5
100000;21;0.5
100000;17;0.5
100000;19;0.5
100000;18;0.5
100000;20;0.5
100000;20;0.5
100000;18;0.5
100000;18;0.5
100000;18;0.5
100000;20;0.5
100000;17;0.5
100000;23;0.5
100000;18;0.5
100000;17;0.5
100000;20;0.5
100000;17;0.5
100000;17;0.5
100000;19;0.5
100000;17;0.5
100000;18;0.5
100000;20;0.5
100000;16;0.5
100000;22;0.5
100000;18;0.5
100000;20;0.5
100000;17;0.5
100000;21;0.5
100000;17;0.5
100000;16;0.5
100000;16;0.5
100000;17;0.5
100000;17;0.5
100000;21;0.5
100000;19;0.5
100000;18;0.5
100000;22;0.5
100000;21;0.5
100000;18;0.5
100000;19;0.5
110000;18;0.5
110000;20;0.5
110000;18;0.5
110000;20;0.5
110000;21;0.5
110000;18;0.5
110000;19;0.5
110000;18;0.5
110000;18;0.5
110000;20;0.5
110000;22;0.5
110000;18;0.5
110000;17;0.5
110000;20;0.5
110000;19;0.5
110000;21;0.5
110000;19;0.5
110000;17;0.5
110000;20;0.5
110000;18;0.5
110000;20;0.5
110000;20;0.5
110000;18;0.5
110000;19;0.5
110000;16;0.5
110000;19;0.5
110000;21;0.5
110000;17;0.5
110000;17;0.5
110000;19;0.5
110000;18;0.5
110000;19;0.5
110000;20;0.5
110000;20;0.5
110000;20;0.5
110000;18;0.5
110000;18;0.5
110000;19;0.5
110000;17;0.5
110000;17;0.5
110000;19;0.5
110000;20;0.5
110000;18;0.5
110000;19;0.5
110000;18;0.5
110000;19;0.5
110000;19;0.5
110000;21;0.5
110000;19;0.5
110000;17;0.5
120000;18;0.5
120000;20;0.5
120000;18;0.5
120000;19;0.5
120000;17;0.5
120000;20;0.5
120000;19;0.5
120000;18;0.5
120000;20;0.5
120000;21;0.5
120000;20;0.5
120000;21;0.5
120000;20;0.5
120000;22;0.5
120000;19;0.5
120000;18;0.5
120000;19;0.5
120000;19;0.5
120000;16;0.5
120000;18;0.5
120000;17;0.5
120000;23;0.5
120000;20;0.5
120000;19;0.5
120000;19;0.5
120000;21;0.5
120000;19;0.5
120000;18;0.5
120000;23;0.5
120000;18;0.5
120000;20;0.5
120000;19;0.5
120000;20;0.5
120000;18;0.5
120000;19;0.5
120000;19;0.5
120000;19;0.5
120000;20;0.5
120000;18;0.5
120000;18;0.5
120000;23;0.5
120000;19;0.5
120000;21;0.5
120000;19;0.5
120000;24;0.5
120000;20;0.5
120000;19;0.5
120000;19;0.5
120000;20;0.5
120000;20;0.5
130000;21;0.5
130000;19;0.5
130000;18;0.5
130000;18;0.5
130000;18;0.5
130000;19;0.5
130000;18;0.5
130000;17;0.5
130000;21;0.5
130000;20;0.5
130000;21;0.5
130000;19;0.5
130000;19;0.5
130000;17;0.5
130000;22;0.5
130000;19;0.5
130000;20;0.5
130000;20;0.5
130000;21;0.5
130000;23;0.5
130000;19;0.5
130000;18;0.5
130000;21;0.5
130000;21;0.5
130000;18;0.5
130000;20;0.5
130000;19;0.5
130000;22;0.5
130000;23;0.5
130000;20;0.5
130000;18;0.5
130000;20;0.5
130000;17;0.5
130000;18;0.5
130000;22;0.5
