operation,index,comparisons
insert_H1,0,0
insert_H2,0,0
insert_H1,1,2
insert_H2,1,2
insert_H1,2,0
insert_H2,2,0
insert_H1,3,4
insert_H2,3,4
insert_H1,4,0
insert_H2,4,0
insert_H1,5,2
insert_H2,5,2
insert_H1,6,0
insert_H2,6,0
insert_H1,7,6
insert_H2,7,6
insert_H1,8,0
insert_H2,8,0
insert_H1,9,2
insert_H2,9,2
insert_H1,10,0
insert_H2,10,0
insert_H1,11,4
insert_H2,11,4
insert_H1,12,0
insert_H2,12,0
insert_H1,13,2
insert_H2,13,2
insert_H1,14,0
insert_H2,14,0
insert_H1,15,8
insert_H2,15,8
insert_H1,16,0
insert_H2,16,0
insert_H1,17,2
insert_H2,17,2
insert_H1,18,0
insert_H2,18,0
insert_H1,19,4
insert_H2,19,4
insert_H1,20,0
insert_H2,20,0
insert_H1,21,2
insert_H2,21,2
insert_H1,22,0
insert_H2,22,0
insert_H1,23,6
insert_H2,23,6
insert_H1,24,0
insert_H2,24,0
insert_H1,25,2
insert_H2,25,2
insert_H1,26,0
insert_H2,26,0
insert_H1,27,4
insert_H2,27,4
insert_H1,28,0
insert_H2,28,0
insert_H1,29,2
insert_H2,29,2
insert_H1,30,0
insert_H2,30,0
insert_H1,31,10
insert_H2,31,10
insert_H1,32,0
insert_H2,32,0
insert_H1,33,2
insert_H2,33,2
insert_H1,34,0
insert_H2,34,0
insert_H1,35,4
insert_H2,35,4
insert_H1,36,0
insert_H2,36,0
insert_H1,37,2
insert_H2,37,2
insert_H1,38,0
insert_H2,38,0
insert_H1,39,6
insert_H2,39,6
insert_H1,40,0
insert_H2,40,0
insert_H1,41,2
insert_H2,41,2
insert_H1,42,0
insert_H2,42,0
insert_H1,43,4
insert_H2,43,4
insert_H1,44,0
insert_H2,44,0
insert_H1,45,2
insert_H2,45,2
insert_H1,46,0
insert_H2,46,0
insert_H1,47,8
insert_H2,47,8
insert_H1,48,0
insert_H2,48,0
insert_H1,49,2
insert_H2,49,2
insert_H1,50,0
insert_H2,50,0
insert_H1,51,4
insert_H2,51,4
insert_H1,52,0
insert_H2,52,0
insert_H1,53,2
insert_H2,53,2
insert_H1,54,0
insert_H2,54,0
insert_H1,55,6
insert_H2,55,6
insert_H1,56,0
insert_H2,56,0
insert_H1,57,2
insert_H2,57,2
insert_H1,58,0
insert_H2,58,0
insert_H1,59,4
insert_H2,59,4
insert_H1,60,0
insert_H2,60,0
insert_H1,61,2
insert_H2,61,2
insert_H1,62,0
insert_H2,62,0
insert_H1,63,12
insert_H2,63,12
insert_H1,64,0
insert_H2,64,0
insert_H1,65,2
insert_H2,65,2
insert_H1,66,0
insert_H2,66,0
insert_H1,67,4
insert_H2,67,4
insert_H1,68,0
insert_H2,68,0
insert_H1,69,2
insert_H2,69,2
insert_H1,70,0
insert_H2,70,0
insert_H1,71,6
insert_H2,71,6
insert_H1,72,0
insert_H2,72,0
insert_H1,73,2
insert_H2,73,2
insert_H1,74,0
insert_H2,74,0
insert_H1,75,4
insert_H2,75,4
insert_H1,76,0
insert_H2,76,0
insert_H1,77,2
insert_H2,77,2
insert_H1,78,0
insert_H2,78,0
insert_H1,79,8
insert_H2,79,8
insert_H1,80,0
insert_H2,80,0
insert_H1,81,2
insert_H2,81,2
insert_H1,82,0
insert_H2,82,0
insert_H1,83,4
insert_H2,83,4
insert_H1,84,0
insert_H2,84,0
insert_H1,85,2
insert_H2,85,2
insert_H1,86,0
insert_H2,86,0
insert_H1,87,6
insert_H2,87,6
insert_H1,88,0
insert_H2,88,0
insert_H1,89,2
insert_H2,89,2
insert_H1,90,0
