n,rep_id,kruskal_ms,prim_ms
100,0,2.0126,0.9735
100,3,1.9922,0.9618
100,4,2.0119,0.9048
100,1,2.1225,0.9691
100,5,2.0554,0.9578
100,9,1.9021,0.9307
100,8,1.8946,0.9439
100,6,2.0507,0.9393
100,7,2.1205,0.9571
100,11,2.3426,0.8915
100,2,3.1404,0.6982
100,10,1.9222,0.6683
200,0,8.6554,3.0756
200,2,8.7211,3.0627
200,6,8.5232,2.9525
200,3,8.6864,3.1055
200,11,8.695,3.0974
200,5,8.7459,3.0601
200,10,8.9455,3.0841
200,8,9.1486,2.9316
200,4,9.0727,3.0616
200,1,9.1155,3.0504
200,9,8.264,2.006
200,7,15.1445,1.8257
300,4,19.0099,6.9982
300,3,19.7205,6.4584
300,9,20.7601,6.1104
300,1,20.8203,6.3795
300,0,20.6888,6.4801
300,8,20.8336,6.1138
300,5,20.2508,6.6858
300,6,20.8242,6.3767
300,2,21.0157,7.0892
300,10,20.6423,7.9547
300,11,20.5107,4.8773
300,7,36.1421,3.7346
400,6,37.1526,9.7948
400,2,37.2075,9.9356
400,11,37.0555,10.6258
400,9,37.7434,10.1717
400,8,38.3254,10.3212
400,5,38.6123,10.4431
400,4,38.9838,10.3774
400,1,39.2979,10.1971
400,0,40.0391,9.8194
400,7,40.9071,8.801
400,3,51.2755,9.8608
400,10,65.7946,6.2284
500,0,59.2113,15.8532
500,8,59.6286,15.5803
500,5,59.8126,14.9473
500,2,60.9107,15.0884
500,9,60.0314,17.0919
500,10,61.7976,15.7261
500,11,62.8887,15.4295
500,6,71.5244,11.8826
500,1,81.2576,10.5576
500,3,84.1249,9.4441
500,4,64.8067,9.4452
500,7,87.5408,13.3209
600,2,86.7674,20.7086
600,0,88.0418,20.4656
600,8,87.3544,20.3404
600,11,92.3176,20.7871
600,9,114.601,18.9121
600,3,115.368,19.6579
600,7,119.974,16.5664
600,6,89.3078,17.765
600,5,88.2747,20.2043
600,4,121.468,20.8907
600,1,131.036,13.4371
600,10,133.953,15.9569
700,4,122.577,26.9304
700,10,123.211,26.8115
700,9,124.117,27.2373
700,3,123.18,28.9435
700,2,154.363,27.264
700,0,154.136,28.2758
700,5,146.116,26.4754
700,11,158.966,28.0243
700,7,160.23,27.2025
700,8,142.868,27.9221
700,1,145.174,27.8185
700,6,150.607,20.7962
800,1,173.875,40.6732
800,4,170.38,58.8407
800,2,182.057,38.5971
800,10,173.923,55.5499
800,8,187.862,38.093
800,3,197.634,36.2384
800,9,201.905,36.242
800,5,178.493,37.2879
800,0,189.571,36.4321
800,6,193.865,34.7177
800,7,188.127,30.3376
800,11,202.568,34.7844
900,6,252.934,44.9982
900,1,276.434,51.2163
900,3,271.143,46.2126
900,8,278.162,48.9765
900,4,264.205,54.6012
900,7,277.336,53.3753
900,11,287.457,71.4961
900,5,318.201,44.9984
900,9,271.536,45.9348
900,0,296.911,44.6509
900,10,322.137,38.4472
900,2,310.682,36.4242
1000,3,294.386,55.3268
1000,10,306.662,53.08
1000,11,317.39,69.0733
1000,9,285.912,57.2586
1000,6,355.587,57.2119
1000,0,333.421,59.6465
1000,1,348.634,62.1361
1000,5,351.802,55.2374
1000,7,356.102,59.5632
1000,4,397.773,48.0373
1000,2,377.204,50.0193
1000,8,367.521,51.3697
1100,5,324.947,63.2503
1100,2,328.023,63.5891
1100,9,329.294,64.0789
1100,6,337.838,66.5825
1100,4,352.533,66.0407
1100,11,364.523,67.7207
1100,3,389.592,72.1479
1100,0,378.812,84.7622
1100,10,352.904,95.7441
1100,1,381.663,70.1758
1100,8,363.821,78.8208
1100,7,388.24,87.014
1200,9,391.912,74.2406
1200,2,398.402,73.6108
1200,4,394.72,74.031
1200,7,395.506,79.3854
1200,10,425.091,72.2038
1200,11,429.21,68.3501
1200,5,413.98,75.0204
1200,1,443.966,61.9001
1200,8,452.721,58.3893
1200,6,460.678,63.4214
1200,0,451.017,65.7385
1200,3,472.043,61.8097
1300,7,462.923,88.4137
1300,11,465.187,87.7143
1300,10,473.296,88.5465
1300,9,469.298,93.2869
1300,5,483.323,92.3512
1300,0,491.831,91.0553
1300,6,483.724,95.3377
1300,1,503.951,81.7135
1300,3,550.883,69.8013
1300,2,584.899,61.9638
1300,4,577.992,60.4449
1300,8,575.833,79.3227
1400,6,735.906,124.4
1400,11,684.821,131.678
1400,0,726.971,122.123
1400,4,740.858,148.031
1400,5,745.375,146.046
1400,3,734.583,161.273
1400,1,699.596,115.499
1400,8,738.225,122.634
1400,2,771.634,109.168
1400,7,727.478,115.497
1400,9,814.15,115.604
1400,10,806.8,96.4516
1500,9,737.169,114.564
1500,3,729.943,114.216
1500,4,718.852,114.299
1500,10,757.056,115.165
1500,6,863.102,99.8628
1500,5,844.443,96.698
1500,0,860.705,104.197
1500,11,866.189,97.2571
1500,1,875.863,76.5699
1500,2,811.76,87.1661
1500,7,843.226,93.068
1500,8,851.504,86.3605
1600,11,759.151,144.445
1600,1,752.813,161.223
1600,9,767.229,155.292
1600,6,769.562,165.915
1600,10,788.842,147.943
1600,0,797.938,157.682
1600,5,772.766,177.774
1600,3,765.595,175.069
1600,2,863.595,137.299
1600,4,856.579,112.099
1600,8,865.924,122.675
1600,7,888.108,109.812
1700,1,956.616,198.409
1700,3,1014.15,196.317
1700,5,954.948,236.036
1700,10,1074.64,169.91
1700,11,962.391,225.99
1700,0,949.8,217.364
1700,6,1089.09,196.114
1700,4,1095.2,167.021
