n,total_comparisons
100,3334
100,3344
100,3356
100,3310
100,3392
200,7940
200,7838
200,7974
200,7784
200,7886
300,12760
300,12868
300,12838
300,12828
300,12808
400,18098
400,18058
400,18108
400,18180
400,18136
500,23602
500,23498
500,23468
500,23618
500,23692
600,29160
600,29104
600,29144
600,29280
600,29170
700,34944
700,34998
700,35042
700,34970
700,34976
800,40976
800,40916
800,40942
800,40836
800,40778
900,46964
900,46888
900,46896
900,46978
900,46876
1000,53276
1000,53140
1000,53044
1000,53140
1000,53220
1100,59286
1100,59108
1100,59340
1100,59216
1100,59316
1200,65356
1200,65618
1200,65304
1200,65632
1200,65430
1300,72034
1300,71710
1300,71758
1300,72092
1300,71862
1400,78406
1400,78312
1400,78328
1400,78388
1400,78234
1500,84794
1500,84680
1500,85098
1500,84804
1500,84932
1600,91434
1600,91558
1600,91656
1600,91286
1600,91624
1700,97846
1700,97748
1700,97940
1700,97908
1700,97924
1800,104618
1800,104560
1800,104484
1800,105094
1800,104554
1900,111354
1900,111572
1900,111200
1900,111032
1900,111256
2000,118482
2000,118270
2000,118220
2000,118166
2000,118176
2100,125030
2100,124888
2100,125088
2100,125134
2100,125332
2200,131660
2200,131802
2200,131582
2200,131580
2200,131884
2300,139010
2300,138586
2300,138502
2300,138920
2300,138608
2400,145502
2400,145248
2400,145378
2400,145370
2400,145514
2500,152142
2500,152408
2500,152410
2500,152616
2500,152184
2600,159156
2600,159068
2600,159412
2600,159030
2600,159418
2700,165890
2700,165960
2700,166210
2700,166402
2700,166292
2800,173194
2800,173324
2800,173114
2800,173496
2800,173628
2900,180608
2900,180136
2900,180616
2900,180074
2900,180700
3000,187488
3000,187314
3000,187534
3000,187630
3000,188102
3100,194774
3100,195026
3100,194904
3100,195070
3100,194924
3200,201664
3200,202072
3200,201848
3200,202054
3200,201860
3300,209020
3300,209058
3300,208844
3300,209116
3300,209072
3400,215926
3400,215648
3400,216298
3400,215820
3400,216106
3500,223624
3500,223782
3500,223384
3500,223498
3500,223026
3600,230900
3600,230972
3600,230790
3600,230572
3600,230838
3700,238082
3700,238230
3700,237916
3700,238158
3700,238334
3800,245154
3800,245068
3800,245620
3800,245672
3800,245452
3900,252742
3900,252616
3900,252314
3900,252930
3900,253156
4000,260522
4000,260336
