n rundy root
100 12 18
100 16 17
100 16 17
100 15 77
100 17 19
100 16 35
100 20 13
100 15 49
100 16 75
100 17 0
100 22 27
100 16 53
100 14 46
100 22 51
100 20 30
100 17 81
200 37 21
200 37 21
200 27 79
200 47 51
200 32 7
200 37 133
200 35 118
200 31 75
200 30 149
200 32 191
200 27 79
200 32 98
200 34 73
200 37 125
200 29 6
200 36 82
300 39 284
300 26 19
300 32 187
300 31 209
300 31 16
300 25 237
300 28 147
300 28 199
300 27 256
300 22 165
300 39 154
300 28 62
300 28 227
300 31 204
300 30 121
300 31 204
400 59 339
400 40 267
400 59 270
400 42 364
400 39 368
400 59 322
400 53 88
400 54 4
400 46 100
400 46 104
400 38 6
400 44 75
400 43 120
400 55 216
400 37 140
400 45 313
500 40 169
500 35 333
500 43 490
500 43 98
500 45 116
500 36 33
500 38 56
500 34 312
500 51 376
500 45 477
500 54 317
500 58 241
500 46 122
500 38 87
500 47 466
500 41 96
600 38 389
600 50 313
600 44 240
600 33 217
600 42 134
600 34 440
600 35 418
600 39 202
600 31 262
600 34 452
600 33 377
600 32 40
600 34 532
600 30 358
600 35 51
600 40 273
700 37 19
700 52 641
700 54 613
700 54 400
700 34 168
700 46 210
700 44 526
700 34 234
700 45 644
700 39 355
700 56 133
700 34 243
700 33 196
700 35 543
700 42 522
700 46 531
800 54 412
800 62 501
800 56 111
800 69 421
800 52 255
800 51 3
800 54 657
800 54 52
800 48 339
800 59 323
800 60 199
800 48 519
800 49 348
800 43 215
800 39 245
800 39 724
900 53 401
900 44 617
900 42 893
900 37 475
900 33 629
900 43 47
900 41 695
900 41 803
900 44 819
900 43 75
900 45 644
900 46 179
900 45 95
900 40 422
900 31 519
900 37 370
1000 45 827
1000 54 237
1000 43 838
1000 51 386
1000 56 746
1000 60 236
1000 44 52
1000 35 348
1000 41 240
1000 65 774
1000 65 628
1000 47 587
1000 40 467
1000 56 705
1000 56 368
1000 38 102
1100 53 885
1100 38 985
1100 34 782
1100 36 679
1100 57 263
1100 40 1050
1100 38 575
1100 37 340
1100 38 439
1100 37 947
1100 49 843
1100 48 10
1100 41 159
1100 46 95
1100 37 917
1100 50 289
1200 84 322
1200 81 182
1200 84 485
1200 56 431
1200 57 683
1200 67 710
1200 65 190
1200 53 1048
1200 61 67
1200 86 656
1200 77 750
1200 55 27
1200 94 246
1200 78 158
1200 70 168
1200 61 150
1300 55 1154
1300 57 939
1300 54 308
1300 58 984
1300 58 777
1300 64 205
1300 57 1081
1300 48 333
1300 75 539
1300 69 54
1300 55 1038
1300 58 270
1300 55 1221
1300 48 956
1300 70 276
1300 69 502
1400 75 625
1400 62 118
1400 61 121
1400 64 146
1400 81 275
1400 87 333
1400 70 1129
1400 69 40
1400 74 1220
1400 89 389
1400 62 419
1400 69 229
1400 64 1051
1400 68 603
1400 68 14
1400 64 768
1500 68 6
1500 68 863
1500 64 424
1500 72 1219
1500 60 1208
1500 66 636
1500 63 505
1500 64 819
1500 58 1439
1500 65 196
1500 67 651
1500 62 1216
1500 71 1019
1500 54 1359
1500 82 1302
1500 70 397
1600 64 530
1600 77 767
1600 66 1033
1600 71 569
1600 77 116
1600 76 961
1600 66 1468
1600 77 1192
1600 62 892
1600 63 1351
1600 58 317
1600 67 861
1600 81 975
1600 68 597
1600 78 512
1600 64 453
1700 60 906
1700 70 480
1700 60 306
1700 53 1299
1700 53 1077
1700 54 135
1700 61 1575
1700 57 1362
1700 58 638
1700 60 1560
1700 62 699
1700 60 734
1700 73 554
1700 66 1090
1700 48 724
1700 57 640
1800 69 1214
1800 64 500
1800 91 1730
1800 61 1601
1800 66 1401
1800 53 861
1800 65 238
1800 67 964
1800 60 791
1800 58 771
1800 60 55
1800 68 1478
1800 69 877
1800 68 1184
1800 63 630
1800 58 992
1900 70 1697
1900 67 1276
1900 69 1207
1900 78 275
1900 55 232
1900 73 199
1900 57 1266
1900 79 438
1900 87 290
1900 80 1385
1900 80 1315
1900 64 683
1900 68 1644
1900 91 1302
1900 71 1604
1900 60 272
2000 73 681
2000 65 126
2000 70 1767
2000 62 745
2000 58 543
2000 61 1689
2000 66 560
2000 70 98
2000 68 732
2000 58 448
2000 61 1726
2000 60 431
2000 70 1259
2000 51 1999
2000 57 1873
2000 69 1460
2100 65 547
2100 79 253
2100 55 1730
2100 61 716
2100 80 663
2100 93 848
2100 71 1092
2100 75 1648
2100 59 431
2100 58 334
2100 81 1483
2100 66 1759
2100 67 0
2100 62 425
2100 73 1064
2100 64 1423
2200 63 1162
2200 64 1446
2200 64 1408
2200 61 192
2200 70 57
2200 66 702
2200 69 225
2200 52 848
2200 49 1744
2200 46 1723
2200 47 1222
2200 52 1219
2200 66 835
2200 54 1539
2200 64 174
2200 62 1515
2300 63 1125
2300 66 1396
2300 55 215
2300 76 1438
2300 55 1344
2300 52 1661
2300 63 1494
2300 80 834
2300 57 26
2300 72 2146
2300 49 1268
2300 78 1420
2300 74 1017
