n rundy root
100 15 14
100 17 41
100 24 67
100 27 10
100 23 59
100 18 16
100 22 12
100 19 91
100 17 97
100 14 48
100 17 96
100 21 46
100 15 7
100 26 58
100 24 66
100 21 82
200 26 18
200 22 6
200 24 142
200 25 2
200 19 26
200 20 149
200 25 152
200 21 176
200 28 192
200 30 145
200 22 8
200 30 122
200 29 44
200 24 142
200 20 129
200 31 175
300 32 253
300 36 28
300 26 206
300 26 132
300 26 258
300 40 261
300 30 59
300 26 138
300 39 5
300 31 268
300 26 82
300 38 38
300 40 183
300 38 172
300 31 209
300 38 31
400 45 181
400 45 76
400 30 267
400 37 144
400 32 392
400 33 367
400 35 151
400 27 17
400 33 136
400 35 129
400 33 136
400 37 91
400 36 124
400 45 238
400 41 49
400 44 229
500 29 101
500 35 46
500 33 230
500 24 488
500 27 368
500 29 409
500 28 172
500 26 95
500 34 19
500 30 499
500 36 277
500 25 161
500 36 9
500 25 152
500 26 227
500 28 33
600 49 230
600 39 102
600 39 367
600 37 437
600 36 205
600 33 295
600 40 400
600 34 397
600 41 42
600 42 173
600 35 249
600 46 396
600 37 327
600 39 565
600 39 536
600 33 34
700 41 221
700 37 156
700 31 166
700 28 545
700 29 271
700 29 127
700 30 137
700 34 325
700 27 238
700 37 693
700 29 19
700 31 179
700 34 379
700 37 170
700 26 467
700 36 184
800 60 264
800 50 342
800 40 586
800 46 273
800 52 21
800 38 226
800 39 758
800 55 282
800 41 214
800 51 314
800 53 404
800 47 375
800 45 400
800 52 760
800 45 47
800 38 534
900 43 839
900 47 81
900 43 814
900 52 515
900 44 475
900 59 199
900 45 86
900 40 396
900 50 821
900 43 274
900 44 487
900 55 489
900 58 296
900 50 821
900 49 816
900 45 131
1000 46 87
1000 37 850
1000 51 607
1000 40 489
1000 35 318
1000 40 478
1000 39 967
1000 38 631
1000 35 193
1000 38 567
1000 39 738
1000 46 87
1000 41 416
1000 40 236
1000 38 864
1000 46 580
1100 66 39
1100 69 574
1100 71 138
1100 64 808
1100 65 630
1100 64 654
1100 81 359
1100 63 505
1100 77 673
1100 50 237
1100 68 997
1100 59 768
1100 57 1045
1100 67 1074
1100 73 803
1100 89 163
1200 53 23
1200 34 655
1200 42 575
1200 42 595
1200 39 1065
1200 51 900
1200 48 124
1200 51 905
1200 43 414
1200 50 150
1200 56 139
1200 56 824
1200 59 565
1200 45 230
1200 39 1117
1200 59 780
1300 69 463
1300 50 288
1300 52 318
1300 55 1224
1300 49 1144
1300 46 1056
1300 60 278
1300 61 1192
1300 49 348
1300 55 834
1300 56 408
1300 62 718
1300 50 295
1300 50 465
1300 42 644
1300 54 127
1400 74 314
1400 78 1095
1400 79 642
1400 68 166
1400 57 341
1400 72 421
1400 73 1199
1400 81 1085
1400 66 1248
1400 51 381
1400 66 1035
1400 76 180
1400 74 976
1400 80 100
1400 83 169
1400 74 1001
1500 45 226
1500 64 664
1500 63 553
1500 58 639
1500 52 236
1500 58 998
1500 56 892
1500 51 81
1500 58 937
1500 65 1256
1500 45 247
1500 50 1013
1500 63 1498
1500 50 46
1500 68 370
1500 62 869
1600 56 1539
1600 55 562
1600 78 1342
1600 64 1203
1600 56 1478
1600 68 1390
1600 57 485
1600 69 806
1600 67 95
1600 64 1436
1600 69 1010
1600 61 228
1600 66 354
1600 72 1291
1600 73 1343
1600 66 583
1700 71 278
1700 90 1334
1700 75 735
1700 63 1149
1700 77 649
1700 73 539
1700 84 1531
1700 99 1355
1700 78 73
1700 69 997
1700 64 672
1700 64 22
1700 93 474
1700 76 1243
1700 96 498
1700 81 573
1800 74 1676
1800 74 1462
1800 64 1785
1800 77 481
1800 54 787
1800 76 58
1800 56 1543
1800 53 889
1800 74 742
1800 72 365
1800 64 1527
1800 67 167
1800 58 360
1800 82 747
1800 84 255
1800 62 417
1900 54 1686
1900 85 1546
1900 80 1795
1900 63 977
1900 67 1671
1900 77 976
1900 55 1804
1900 66 534
1900 57 176
1900 70 558
1900 60 134
1900 69 1208
1900 79 1464
