-1  85  15  15
 0.009678649  12  1  5  M
 0.030347235  12  1  6  m
 0.001893857  0  9  8  A
 0.037542726  0  10  8  a
 0.010547380  14  5  9  O
 0.044205708  14  5  10  o
 0.009348972  11  9  2  L
 0.051697538  11  10  2  l
 0.006674814  5  10  5  F
 0.060534459  5  11  5  f
 0.008527482  9  7  13  J
 0.051927748  9  8  13  J
 0.077140788  9  8  14  j
 0.004029381  4  1  0  E
 0.050811570  4  0  0  E
 0.072272303  4  1  0  E
 0.089520455  4  2  0  e
 0.103235240  17  3  6  2
 0.113332654  17  3  5  2
 0.113368667  17  3  5  *
 0.171463191  24  0  9  9
 0.222058874  24  15  15  9
 0.082908873  15  12  12  0
 0.233445285  15  15  15  0
 0.007556935  7  6  5  H
 0.064630421  7  5  5  H
 0.079713245  7  6  5  H
 0.123706639  7  7  5  H
 0.138992326  7  7  6  H
 0.160566429  7  8  6  h
 0.234996774  16  11  14  1
 0.285262947  16  15  15  1
 0.007142531  6  14  2  G
 0.291000382  6  14  2  g
 0.024637379  22  11  0  7
 0.101338173  22  11  14  7
 0.123438524  22  11  13  7
 0.198953937  22  11  12  7
 0.198987650  22  11  12  *
 0.002278635  1  13  1  B
 0.038020615  1  14  1  B
 0.300174362  1  14  1  b
 0.008047784  8  8  7  I
 0.061081153  8  7  7  I
 0.080933456  8  6  7  I
 0.122466688  8  5  7  I
 0.154521519  8  5  8  I
 0.202608315  8  4  8  i
 0.002760139  2  6  2  C
 0.039450916  2  7  2  C
 0.072304177  2  7  3  C
 0.116698164  2  7  4  C
 0.139019088  2  7  5  C
 0.160593680  2  7  6  C
 0.204366336  2  6  6  C
 0.227485573  2  5  6  c
 0.003303718  3  1  7  D
 0.028566142  3  0  7  D
 0.050563347  3  1  7  D
 0.061370793  3  2  7  D
 0.090928477  3  2  6  D
 0.113392876  3  3  6  D
 0.143916625  3  3  7  D
 0.169126360  3  3  8  D
 0.205803568  3  3  9  D
 0.231703843  3  3  10  D
 0.242523080  3  4  10  d
 0.010090721  13  12  14  N
 0.055029295  13  12  0  N
 0.101391989  13  11  0  N
 0.123530755  13  11  14  N
 0.144055543  13  12  14  N
 0.177525799  13  12  13  N
 0.199008181  13  11  13  N
 0.246569105  13  10  13  n
 0.008983796  10  5  12  K
 0.064193176  10  5  11  K
 0.077134966  10  6  11  K
 0.092230638  10  5  11  K
 0.379926714  10  5  11  k
 0.072301709  18  6  3  3
 0.676911363  18  15  15  3
 0.076693267  20  3  7  5
 0.143866759  20  3  8  5
 0.169076278  20  3  9  5
 0.205757207  20  3  10  5
 0.231652702  20  3  11  5
 0.742127117  20  15  15  5
 0.089496409  19  12  10  4
 0.796018627  19  15  15  4
 0.124476927  23  12  4  8
 0.844574393  23  15  15  8
 0.160857971  21  13  13  6
 0.877273056  21  15  15  6
 0.001446263  25  8  14  #
 0.177498044  25  8  14  #
 0.001448123  26  13  0  #
 0.001448573  27  7  10  #
 0.001449127  28  6  0  #
 0.001449263  29  14  14  #
 0.001449451  30  12  2  #
 0.001449953  31  2  8  #
 0.001450402  32  4  7  #
 0.001450590  33  7  14  #
 0.001450758  34  10  3  #
 0.001451009  35  10  2  #
 0.156224651  35  10  2  #
 0.001451406  36  9  12  #
 0.001451563  37  10  14  #
 0.001451824  38  10  13  #
 0.347335643  38  10  13  #
 0.001452242  39  5  6  #
 0.327863820  39  5  6  #
 0.001452744  40  1  14  #
 0.001452922  41  4  10  #
 0.342621891  41  4  10  #
 0.001453110  42  1  8  #
 0.001461326  43  1  6  #
 0.130622053  43  1  6  #
 0.001461525  44  4  6  #
 0.001461682  45  11  6  #
 0.001461818  46  3  5  #
 0.214543523  46  3  5  #
 0.001462048  47  11  11  #
 0.001462257  48  10  8  #
 0.138272456  48  10  8  #
 0.001462466  49  13  9  #
 0.001462643  50  11  12  #
 0.299153552  50  11  12  #
 0.001463030  51  3  14  #
 0.001463260  52  4  11  #
 0.001463448  53  12  8  #
 0.001463616  54  6  1  #
 0.001464055  55  8  10  #
 0.001464285  56  8  6  #
 0.261144895  56  8  6  #
 0.001464515  57  11  5  #
 0.160959882  57  11  5  #
 0.001464776  58  2  0  #
 0.190003771  58  2  0  #
 0.001465016  59  7  9  #
 0.001465225  60  9  4  #
 0.001465518  61  4  13  #
 0.001465748  62  5  10  #
 0.144541513  62  5  10  #
 0.001466292  63  13  10  #
 0.001466710  64  0  6  #
 0.001466971  65  13  12  #
 0.001467463  66  1  1  #
 0.001467713  67  7  12  #
 0.001468247  68  13  3  #
 0.001468529  69  13  14  #
 0.001468748  70  2  12  #
 0.001469292  71  12  7  #
 0.001469564  72  4  2  #
 0.001469867  73  1  2  #
 0.001470139  74  12  11  #
 0.001470484  75  13  11  #
 0.001470787  76  9  11  #
 0.001471080  77  3  3  #
 0.001471717  78  13  6  #
 0.001472031  79  4  8  #
 0.302732244  79  4  8  #
 0.001472386  80  10  4  #
 0.001472689  81  9  1  #
 0.001472993  82  12  1  #
 0.001473264  83  14  5  #
 0.001473588  84  6  13  #
