-1  25  15  15
 0.011151722  16  8  2  1
 0.041937113  19  6  0  4
 0.052492085  23  7  9  8
 0.093508819  17  0  13  2
 0.103600804  24  1  13  9
 0.113000837  22  3  13  7
 0.103600804  24  1  13  9
 0.118113191  24  1  12  9
 0.224256548  18  0  6  3
 0.093508819  17  0  13  2
 0.236294939  17  0  12  2
 0.268587027  20  8  13  5
 0.331090328  21  11  10  6
 0.351264810  15  6  12  0
 0.011151722  16  8  2  1
 0.356028264  16  9  2  1
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.551373928  19  15  15  4
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.001691803  5  1  4  F
 0.031141785  5  2  4  F
 0.090837215  5  2  5  F
 0.114378546  5  2  4  F
 0.162687405  5  1  4  F
 0.217057317  5  1  3  F
 0.259135185  5  1  4  F
 0.279726046  5  1  5  F
 0.302662889  5  1  6  F
 0.360727688  5  1  7  F
 0.410380901  5  1  8  F
 0.466862636  5  1  9  F
 0.519748942  5  0  9  F
 0.576976580  5  0  8  F
 0.596094569  5  1  8  F
 0.655656919  5  1  7  F
 0.698219454  5  2  7  F
 0.736364790  5  3  7  F
 0.774387958  5  4  7  F
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.001734404  13  12  4  N
 0.044389318  13  13  4  N
 0.079818030  13  12  4  N
 0.097227247  13  11  4  N
 0.157880104  13  11  3  N
 0.193443441  13  10  3  N
 0.251112651  13  10  2  N
 0.274984918  13  10  3  N
 0.294666028  13  10  4  N
 0.345093014  13  10  5  N
 0.377634979  13  10  6  N
 0.435107420  13  10  5  N
 0.454642615  13  10  4  N
 0.478913402  13  9  4  N
 0.509507874  13  8  4  N
 0.551437528  13  7  4  N
 0.596054227  13  8  4  N
 0.616539650  13  8  3  N
 0.666231207  13  7  3  N
 0.698166025  13  7  4  N
 0.718708823  13  6  4  N
 0.770785156  13  6  3  N
 0.784791722  13  6  4  N
 0.800299512  13  6  3  N
 0.843915265  13  5  3  N
 0.862855817  13  5  4  N
 0.052492085  23  7  9  8
 0.890468285  23  6  9  8
 0.268587027  20  8  13  5
 0.902543700  20  8  12  5
 0.927496281  24  15  15  9
 0.930958429  17  15  15  2
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.936909162  15  8  13  0
 0.001674070  4  10  7  E
 0.027717739  4  9  7  E
 0.053788065  4  10  7  E
 0.075011316  4  11  7  E
 0.095792175  4  12  7  E
 0.148694303  4  12  6  E
 0.178220355  4  11  6  E
 0.194749652  4  12  6  E
 0.218358296  4  12  7  E
 0.267264735  4  12  6  E
 0.298084332  4  11  6  E
 0.346519977  4  11  5  E
 0.388932133  4  11  6  E
 0.411757084  4  11  7  E
 0.468073568  4  11  8  E
 0.492531670  4  11  7  E
 0.506958027  4  11  8  E
 0.561826279  4  11  9  E
 0.606648507  4  10  9  E
 0.633061769  4  11  9  E
 0.659380121  4  10  9  E
 0.676354254  4  10  8  E
 0.697009465  4  10  7  E
 0.741030225  4  9  7  E
 0.784840183  4  9  6  E
 0.838110228  4  9  5  E
 0.862784466  4  10  5  E
 0.897512092  4  11  5  E
 0.928646290  4  12  5  E
 0.964668904  4  12  4  E
 1.002240256  4  11  4  E
 1.059752241  4  11  5  E
 1.088593479  4  11  4  E
 1.122714829  4  12  4  E
 1.155046088  4  13  4  E
 1.196621170  4  13  3  E
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.936909162  15  8  13  0
 1.209836575  15  7  13  0
 0.268587027  20  8  13  5
 0.902543700  20  8  12  5
 1.250420901  20  8  11  5
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.936909162  15  8  13  0
 1.209836575  15  7  13  0
 1.294584015  15  8  13  0
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.936909162  15  8  13  0
 1.209836575  15  7  13  0
 1.294584015  15  8  13  0
 1.314911076  15  8  12  0
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.936909162  15  8  13  0
 1.209836575  15  7  13  0
 1.294584015  15  8  13  0
 1.314911076  15  8  12  0
 1.334789384  15  7  12  0
 0.001731588  8  7  2  I
 0.033614567  8  7  1  I
 0.090916705  8  6  1  I
 0.142759734  8  5  1  I
 0.175780768  8  5  2  I
 0.189679962  8  4  2  I
 0.230380114  8  4  3  I
 0.269813967  8  3  3  I
 0.305091345  8  3  4  I
 0.342668086  8  3  5  I
 0.376314019  8  2  5  I
 0.431547480  8  3  5  I
 0.490048184  8  3  4  I
 0.508179223  8  3  3  I
 0.547575842  8  3  4  I
 0.569743639  8  3  3  I
 0.596100407  8  2  3  I
 0.655724422  8  2  4  I
 0.681345341  8  1  4  I
 0.720990266  8  1  3  I
 0.747972635  8  2  3  I
 0.765079855  8  2  4  I
 0.791400496  8  2  3  I
 0.838116777  8  3  3  I
 0.896225080  8  4  3  I
 0.912776953  8  4  4  I
 0.968388002  8  3  4  I
 0.986543186  8  2  4  I
 1.029643064  8  3  4  I
 1.086143158  8  3  3  I
 1.115496504  8  3  2  I
 1.126164079  8  3  3  I
 1.142490484  8  3  4  I
 1.195298713  8  4  4  I
 1.239022747  8  4  5  I
 1.272100944  8  5  5  I
 1.314944241  8  6  5  I
 1.360129710  8  7  5  I
 0.001733264  14  1  6  O
 0.037019396  14  1  5  O
 0.079880426  14  1  6  O
 0.102224739  14  2  6  O
 0.137942443  14  2  5  O
 0.188471916  14  3  5  O
 0.213251153  14  2  5  O
 0.242284704  14  1  5  O
 0.265748396  14  0  5  O
 0.290034292  14  14  5  O
 0.305145570  14  0  5  O
 0.354844751  14  0  4  O
